Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Devin Booker,29,PHO,SG,19,19,679,18.8,.580,.307,.407,3.1,10.4,6.7,30.7,1.3,1.0,15.0,30.7,1.3,0.6,1.9,.131,2.1,-1.4,0.7,0.5,,bookede01
2,Tyrese Maxey,25,PHI,PG,17,17,679,23.9,.613,.422,.337,0.8,11.5,6.1,32.1,1.9,1.8,9.3,30.3,2.2,0.6,2.8,.194,6.3,0.4,6.7,1.5,,maxeyty01
3,Trey Murphy III,25,NOP,SF,19,19,675,17.2,.611,.547,.254,3.8,16.5,9.7,14.0,2.4,0.6,11.8,21.4,1.1,0.2,1.3,.093,2.0,-1.1,0.9,0.5,,murphtr02
4,Franz Wagner,24,ORL,SF,19,19,656,19.9,.597,.278,.470,5.4,15.3,10.4,17.8,1.4,0.9,8.8,25.5,1.6,0.7,2.4,.174,2.9,-0.1,2.8,0.8,,wagnefr01
5,Deni Avdija,25,POR,SF,19,19,644,20.1,.620,.407,.488,3.8,17.2,10.2,26.2,0.7,1.9,15.0,28.2,1.5,0.4,1.8,.137,4.6,-0.7,3.9,1.0,,avdijde01
6,Toumani Camara,25,POR,PF,19,19,641,9.3,.512,.616,.114,6.5,10.4,8.4,10.9,1.5,1.5,15.0,16.1,0.0,0.3,0.3,.024,-2.0,-1.0,-3.0,-0.2,,camarto01
7,Brandon Ingram,28,TOR,SF,19,19,640,16.6,.580,.273,.308,2.2,17.4,9.9,16.3,1.6,2.0,13.3,27.3,0.2,1.0,1.2,.088,0.2,-0.1,0.1,0.3,,ingrabr01
8,Shai Gilgeous-Alexander,27,OKC,PG,19,19,632,34.0,.675,.262,.487,1.8,14.0,8.2,35.2,2.3,2.4,6.7,33.6,3.8,1.5,5.2,.396,10.3,3.8,14.0,2.5,,gilgesh01
9,Scottie Barnes,24,TOR,PF,19,19,630,20.7,.593,.217,.249,7.5,19.1,13.4,22.1,2.0,4.8,11.9,23.8,1.1,1.2,2.3,.175,2.4,2.2,4.6,1.1,,barnesc01
10,Miles Bridges,27,CHO,PF,18,18,628,16.9,.558,.487,.279,3.5,17.6,10.5,16.5,0.9,1.4,7.4,25.1,1.1,0.2,1.3,.097,2.0,-1.7,0.3,0.4,,bridgmi02
11,Dyson Daniels,22,ATL,SG,19,19,626,13.1,.514,.150,.145,7.3,14.0,10.7,22.9,3.1,1.2,18.9,15.4,0.2,0.9,1.1,.084,-2.2,1.7,-0.6,0.2,,daniedy01
12,DeMar DeRozan,36,SAC,PF,19,19,625,16.6,.594,.153,.394,1.8,9.0,5.3,16.5,1.7,0.4,6.7,21.4,1.1,0.1,1.3,.096,0.1,-0.8,-0.7,0.2,,derozde01
13,Desmond Bane,27,ORL,SG,19,19,615,13.8,.548,.344,.256,4.1,10.9,7.5,21.3,1.2,0.7,12.5,23.4,0.5,0.6,1.1,.088,-0.7,-0.7,-1.4,0.1,,banede01
14,Evan Mobley,24,CLE,PF,18,18,615,17.6,.572,.307,.463,7.6,20.3,13.8,16.9,1.5,4.3,14.0,22.9,0.5,1.0,1.5,.115,0.7,1.1,1.8,0.6,,mobleev01
15,Ryan Rollins,23,MIL,PG,19,18,610,17.4,.591,.407,.150,3.0,11.7,7.3,27.9,2.3,0.8,14.6,24.9,0.6,0.5,1.2,.091,1.3,-0.7,0.6,0.4,,rolliry01
16,Immanuel Quickley,26,TOR,PG,19,19,605,15.8,.570,.521,.212,1.5,15.1,8.5,25.9,2.0,0.2,10.4,20.2,0.8,0.9,1.7,.135,1.0,0.8,1.8,0.6,,quickim01
17,James Harden,36,LAC,PG,17,17,605,24.9,.639,.562,.480,2.2,16.3,9.3,40.2,1.5,1.1,14.9,31.7,2.0,0.2,2.2,.177,7.2,-0.9,6.3,1.2,,hardeja01
18,Lauri Markkanen,28,UTA,PF,17,17,605,21.8,.612,.435,.323,6.9,12.0,9.4,11.0,1.3,1.3,5.5,28.1,1.8,0.1,1.9,.152,5.9,-2.1,3.8,0.9,,markkla01
19,Cooper Flagg,19,DAL,PG,18,18,604,13.1,.527,.280,.236,4.0,15.6,9.9,15.2,1.9,1.6,12.6,21.4,-0.2,1.0,0.7,.056,-2.5,0.8,-1.7,0.1,,flaggco01
20,Julius Randle,31,MIN,PF,18,18,602,22.2,.617,.319,.456,5.4,18.9,12.3,26.6,1.7,0.6,12.5,27.3,1.6,0.8,2.5,.196,4.1,0.4,4.5,1.0,,randlju01
21,Kon Knueppel,20,CHO,SF,18,17,600,15.0,.632,.614,.175,3.6,16.1,9.8,13.2,1.0,0.6,14.0,21.4,0.8,0.2,1.0,.076,1.6,-1.7,-0.1,0.3,,knuepko01
