Season,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference
2009-10,Boston Celtics,50,32,0.61,,99.2,95.6,3.37,East
2009-10,Toronto Raptors,40,42,0.488,10.0,104.1,105.9,-1.83,East
2009-10,New York Knicks,29,53,0.354,21.0,102.1,105.9,-4.01,East
2009-10,Philadelphia 76ers,27,55,0.329,23.0,97.7,101.6,-3.93,East
2009-10,New Jersey Nets,12,70,0.146,38.0,92.4,101.5,-8.93,East
2009-10,Cleveland Cavaliers,61,21,0.744,,102.1,95.6,6.17,East
2009-10,Milwaukee Bucks,46,36,0.561,15.0,97.7,96.0,1.37,East
2009-10,Chicago Bulls,41,41,0.5,20.0,97.5,99.1,-1.64,East
2009-10,Indiana Pacers,32,50,0.39,29.0,100.8,103.8,-3.11,East
2009-10,Detroit Pistons,27,55,0.329,34.0,94.0,99.1,-5.02,East
2009-10,Orlando Magic,59,23,0.72,,102.8,95.3,7.12,East
2009-10,Atlanta Hawks,53,29,0.646,6.0,101.7,97.0,4.44,East
2009-10,Miami Heat,47,35,0.573,12.0,96.5,94.2,1.99,East
2009-10,Charlotte Bobcats,44,38,0.537,15.0,95.3,93.8,1.3,East
2009-10,Washington Wizards,26,56,0.317,33.0,96.2,101.0,-4.72,East
2009-10,Denver Nuggets,53,29,0.646,,106.5,102.4,4.15,West
2009-10,Utah Jazz,53,29,0.646,,104.2,98.9,5.33,West
2009-10,Portland Trail Blazers,50,32,0.61,3.0,98.1,94.8,3.18,West
2009-10,Oklahoma City Thunder,50,32,0.61,3.0,101.5,98.0,3.55,West
2009-10,Minnesota Timberwolves,15,67,0.183,38.0,98.2,107.8,-9.06,West
2009-10,Los Angeles Lakers,57,25,0.695,,101.7,97.0,4.78,West
2009-10,Phoenix Suns,54,28,0.659,3.0,110.2,105.3,4.67,West
2009-10,Los Angeles Clippers,29,53,0.354,28.0,95.7,102.1,-6.01,West
2009-10,Golden State Warriors,26,56,0.317,31.0,108.8,112.4,-3.28,West
2009-10,Sacramento Kings,25,57,0.305,32.0,100.0,104.4,-4.06,West
2009-10,Dallas Mavericks,55,27,0.671,,102.0,99.3,2.66,West
2009-10,San Antonio Spurs,50,32,0.61,5.0,101.4,96.3,5.07,West
2009-10,Houston Rockets,42,40,0.512,13.0,102.4,102.7,-0.02,West
2009-10,Memphis Grizzlies,40,42,0.488,15.0,102.5,104.0,-1.39,West
2009-10,New Orleans Hornets,37,45,0.451,18.0,100.2,102.7,-2.27,West
2010-11,Boston Celtics,56,26,0.683,,96.5,91.1,4.83,East
2010-11,New York Knicks,42,40,0.512,14.0,106.5,105.7,0.48,East
2010-11,Philadelphia 76ers,41,41,0.5,15.0,99.0,97.5,1.01,East
2010-11,New Jersey Nets,24,58,0.293,32.0,94.2,100.4,-6.28,East
2010-11,Toronto Raptors,22,60,0.268,34.0,99.1,105.4,-6.28,East
2010-11,Chicago Bulls,62,20,0.756,,98.6,91.3,6.53,East
2010-11,Indiana Pacers,37,45,0.451,25.0,99.8,100.9,-1.38,East
2010-11,Milwaukee Bucks,35,47,0.427,27.0,91.9,92.7,-1.02,East
2010-11,Detroit Pistons,30,52,0.366,32.0,97.0,100.6,-3.78,East
2010-11,Cleveland Cavaliers,19,63,0.232,43.0,95.5,104.5,-8.88,East
2010-11,Miami Heat,58,24,0.707,,102.1,94.6,6.76,East
2010-11,Orlando Magic,52,30,0.634,6.0,99.2,93.7,4.92,East
2010-11,Atlanta Hawks,44,38,0.537,14.0,95.0,95.8,-1.1,East
2010-11,Charlotte Bobcats,34,48,0.415,24.0,93.3,97.3,-4.08,East
2010-11,Washington Wizards,23,59,0.28,35.0,97.3,104.7,-7.3,East
2010-11,Oklahoma City Thunder,55,27,0.671,,104.8,101.0,3.81,West
2010-11,Denver Nuggets,50,32,0.61,5.0,107.5,102.7,4.81,West
2010-11,Portland Trail Blazers,48,34,0.585,7.0,96.3,94.8,1.85,West
2010-11,Utah Jazz,39,43,0.476,16.0,99.4,101.3,-1.44,West
